"/item/DOD+8D3940001/BALDOR+ELECTRIC+COMPANY_CONST+FIX+DISC-53-+SIZE+300++RENEWAL+PARTS",8D3940001,1740.35
"/item/DOD+8D5510245/BALDOR+ELECTRIC+COMPANY_GEAR+++++++++S41",8D5510245,2854.35
"/item/DOD+8D5810004/BALDOR+ELECTRIC+COMPANY_HEAD+++++++++R9",8D5810004,1095.02
"/item/DOD+8D5810046/BALDOR+ELECTRIC+COMPANY_HEAD+RENEWAL+PARTS",8D5810046,1803.13
"/item/DOD+8D6620019/BALDOR+ELECTRIC+COMPANY_PINION+++++++R30+RENEWAL+PARTS",8D6620019,2540.44
"/item/DOD+8D6650097/BALDOR+ELECTRIC+COMPANY_PINION+++++++R12",8D6650097,2540.44
"/item/DOD+8D6780046/BALDOR+ELECTRIC+COMPANY_BEARING+PLATE++77++SIZE+300+RENEWAL+PARTS",8D6780046,1343.22
"/item/DOD+8FZ0136/BALDOR+ELECTRIC+COMPANY_SCREW",8FZ0136,0.29
"/item/DOD+8FZ0153/BALDOR+ELECTRIC+COMPANY_SCREW+RENEWAL+PARTS",8FZ0153,0.29
"/item/DOD+8FZ3340/BALDOR+ELECTRIC+COMPANY_WASHER+RENEWAL+PARTS",8FZ3340,2.92
"/item/DOD+8H95521/BALDOR+ELECTRIC+COMPANY_CP7202+X+5%252F8+COMPOUND+SR+PULLEY+GEAR+PRODUCTS",8H95521,1191.47
"/item/DOD+8M05C1513/BALDOR+ELECTRIC+COMPANY_ENTER+AT+RRV+051MD+1%252F2HP+6.+GEAR+PRODUCTS",8M05C1513,4037.95
"/item/DOD+8M20E1307/BALDOR+ELECTRIC+COMPANY_ENTR+RRV+3+HP++243+30-6",8M20E1307,16531.18
"/item/DOD+8P56H3623/BALDOR+ELECTRIC+COMPANY_USE+P56H3625+RENEWAL+PARTS",8P56H3623,1096.25
"/item/DOD+8P0070069/BALDOR+ELECTRIC+COMPANY_ADAPTOR+RENEWAL+PARTS",8P0070069,225.43
"/item/DOD+8P7280004/BALDOR+ELECTRIC+COMPANY_SCALE+RENEWAL+PARTS",8P7280004,10.8
"/item/DOD+8V9180059/BALDOR+ELECTRIC+COMPANY_SLEEVE++++++%252435+NET+S.U.+RENEWAL+PARTS",8V9180059,128.48
"/item/DOD+8X01991/BALDOR+ELECTRIC+COMPANY_SHIFT+NUT-LH-65++SIZE+2+%2526++3+VST",8X01991,1138.82
"/item/DOD+8X16614/BALDOR+ELECTRIC+COMPANY_NUT++++++++++65+--%252435+NET+S+RENEWAL+PARTS",8X16614,515.1
