Brand,Competitor,MRO id,Part Number,MRO Price,New Price,Date Scraped,Old Price,Previous Date,Percentage Change
Dodge,plccenter,117829,4603,36.80,52.50,2014-01-05,52.00,2013-12-29,+00.96 %
Dodge,plccenter,117830,4598,36.80,52.50,2014-01-05,52.00,2013-12-29,+00.96 %
Dodge,plccenter,117831,4605,36.80,52.50,2014-01-05,52.00,2013-12-29,+00.96 %
Dodge,plccenter,117832,4608,36.80,52.50,2014-01-05,52.00,2013-12-29,+00.96 %
Dodge,plccenter,117833,4616,36.80,52.50,2014-01-05,52.00,2013-12-29,+00.96 %
Dodge,plccenter,117834,4618,36.80,52.50,2014-01-05,52.00,2013-12-29,+00.96 %
Dodge,plccenter,117835,4613,36.80,52.50,2014-01-05,52.00,2013-12-29,+00.96 %
Dodge,plccenter,117836,4647,49.07,70.00,2014-01-05,69.50,2013-12-29,+00.72 %
Dodge,plccenter,117837,4653,49.07,70.00,2014-01-05,69.50,2013-12-29,+00.72 %
Dodge,plccenter,117838,4982,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117839,4658,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117840,4666,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117841,4672,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117842,4680,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117843,4673,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117844,4668,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117845,4687,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117846,4694,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117847,4691,78.51,112.00,2014-01-05,111.00,2013-12-29,+00.90 %
Dodge,plccenter,117848,4508,12.27,17.50,2014-01-05,17.40,2013-12-29,+00.57 %
Dodge,plccenter,117849,4503,12.27,17.50,2014-01-05,17.40,2013-12-29,+00.57 %
Dodge,plccenter,117850,4538,18.40,26.20,2014-01-05,26.00,2013-12-29,+00.77 %
Dodge,plccenter,117851,22726,12.88,18.40,2014-01-05,18.20,2013-12-29,+01.10 %
Dodge,plccenter,117852,22723,12.88,18.40,2014-01-05,18.20,2013-12-29,+01.10 %
