Brand,Competitor,MRO id,Part Number,MRO Price,New Price,Date Scraped,Old Price,Previous Date,Percentage Change
Redlion,plccenter,286873,C48CS013,123.50,147.00,2014-01-10,142.50,2013-12-20,+03.16 %
Redlion,plccenter,286875,C48TS013,123.50,147.00,2014-01-10,142.50,2013-12-20,+03.16 %
Redlion,plccenter,286919,C48CS004,140.56,167.50,2014-01-10,162.50,2013-12-20,+03.08 %
Redlion,plccenter,286920,C48TS004,140.56,167.50,2014-01-10,162.50,2013-12-20,+03.08 %
Redlion,plccenter,286932,C48CS014,150.31,179.00,2014-01-10,173.50,2013-12-20,+03.17 %
Redlion,plccenter,286933,C48CS103,150.31,179.00,2014-01-10,173.50,2013-12-20,+03.17 %
Redlion,plccenter,286935,C48TS014,150.31,179.00,2014-01-10,173.50,2013-12-20,+03.17 %
Redlion,plccenter,286936,C48TS103,150.31,179.00,2014-01-10,173.50,2013-12-20,+03.17 %
Redlion,plccenter,286937,C48TS104,150.31,179.00,2014-01-10,173.50,2013-12-20,+03.17 %
Redlion,plccenter,286941,C48TD001,152.75,182.00,2014-01-10,176.50,2013-12-20,+03.12 %
Redlion,plccenter,286946,C48TD002,154.38,183.50,2014-01-10,178.50,2013-12-20,+02.80 %
Redlion,plccenter,286959,C48CS114,158.44,188.50,2014-01-10,183.00,2013-12-20,+03.01 %
Redlion,plccenter,286960,C48TS113,158.44,188.50,2014-01-10,183.00,2013-12-20,+03.01 %
Redlion,plccenter,286961,C48TS114,158.44,188.50,2014-01-10,183.00,2013-12-20,+03.01 %
Redlion,plccenter,286964,C48TD011,160.88,191.50,2014-01-10,186.00,2013-12-20,+02.96 %
Redlion,plccenter,286981,C48TD012,162.50,193.50,2014-01-10,187.50,2013-12-20,+03.20 %
Redlion,plccenter,286982,C48TD102,162.50,193.50,2014-01-10,187.50,2013-12-20,+03.20 %
Redlion,plccenter,286996,C48TD111,170.63,203.00,2014-01-10,197.00,2013-12-20,+03.05 %
Redlion,plccenter,287001,C48TD112,172.25,205.00,2014-01-10,199.00,2013-12-20,+03.02 %
Redlion,plccenter,287006,C48TD005,176.31,210.00,2014-01-10,203.50,2013-12-20,+03.19 %
Redlion,plccenter,287015,C48TD007,177.94,211.50,2014-01-10,205.50,2013-12-20,+02.92 %
Redlion,plccenter,287024,C48TD105,184.44,219.50,2014-01-10,213.00,2013-12-20,+03.05 %
Redlion,plccenter,287025,C48TD106,184.44,219.50,2014-01-10,213.00,2013-12-20,+03.05 %
Redlion,plccenter,287051,C48TD116,194.19,231.00,2014-01-10,224.50,2013-12-20,+02.90 %
Redlion,plccenter,287058,C48TD117,195.81,233.00,2014-01-10,226.00,2013-12-20,+03.10 %
Redlion,plccenter,287279,GEM42060,421.69,487.00,2013-08-13,439.00,2013-06-29,+10.93 %
Redlion,plccenter,864559,G310C210,2447.00,2459.00,2013-08-13,2295.00,2013-06-29,+07.15 %
Redlion,alliedelec,864981,TMPCNM06,3.25,4.01,2014-01-10,4.00,2013-12-27,+00.25 %
Redlion,newark,286930,T1641100,146.25,287.80,2013-11-18,297.08,2013-11-03,-03.12 %
Redlion,newark,864483,CUB5RTR0,104.81,213.92,2013-09-10,198.51,2013-08-13,+07.76 %
