199948;106.74
131696;39.8
1234434;50.0
626074;34.91
250242;90.7
250241;87.77
250240;84.84
250239;78.99
250238;61.44
250237;46.81
250206;43.88
250205;43.88
250203;46.81
250202;46.81
250201;46.81
250200;46.81
250199;46.81
250198;46.81
250197;46.81
250196;46.81
250195;46.81
250184;70.21
250183;55.58
250182;46.81
250181;46.81
250180;38.03
250145;36.57
250144;36.57
250143;36.57
250142;36.57
250141;36.57
250140;36.57
250139;36.57
250138;36.57
250137;36.57
250124;40.95
250123;35.1
250122;29.26
250093;29.26
250092;29.26
250091;29.26
250090;29.26
250089;29.26
250088;29.26
250087;29.26
250036;35.1
250035;29.26
250034;23.41
249997;26.33
249996;26.33
249995;26.33
249994;26.33
249993;26.33
249992;26.33
249991;26.33
249938;19.01
249911;23.41
249910;23.41
249909;23.41
249908;23.41
249907;23.41
249906;23.41
249816;13.16
249801;10.98
249800;10.98
249799;10.98
249798;10.98
249458;289.63
249454;204.79
249453;204.79
249452;204.79
249451;204.79
249450;204.79
249430;193.09
249425;160.91
249424;160.91
249423;160.91
249421;169.69
249420;169.69
249419;169.69
249418;169.69
249360;193.09
249359;143.35
249358;184.31
249357;140.43
249356;210.64
249344;143.35
249343;143.35
249341;152.13
249340;152.13
249339;152.13
249338;152.13
249337;152.13
249313;149.21
249312;146.28
249311;131.65
249310;125.8
249309;190.16
249289;111.17
249288;111.17
249287;111.17
249285;117.02
249284;117.02
249283;117.02
249282;117.02
249281;117.02
249252;119.95
249251;114.09
249250;81.92
249249;76.07
249248;140.43
249220;84.84
249219;78.99
249217;84.84
249216;84.84
249215;84.84
249214;84.84
249213;84.84
286689;70.69
1315974;30.7
1315973;27.93
1315972;27.93
1315971;27.93
1315970;27.93
1315969;27.93
1315968;27.93
1315967;30.7
1315966;30.7
1315965;30.7
1315964;30.7
1315963;30.7
1315962;27.93
1315961;27.93
1315960;27.93
1315959;27.93
1315958;27.93
1315957;27.93
1315956;34.02
1315955;34.02
1315954;34.02
1315953;28.66
1315952;28.66
1315951;28.66
1315950;35.82
1315949;32.23
1315948;32.23
1315947;28.66
1315946;28.66
1315945;37.52
1315944;37.52
1315943;13.64
1315942;26.94
286913;146.25
286727;97.5
286476;13.0
286511;20.31
1011352;143.31
1011913;2319.81
1011912;2037.54
1011911;2037.54
1011910;2037.54
1011909;2037.54
1011908;2037.54
1011907;1744.08
1011906;1309.46
1011905;1309.46
1011904;1309.46
1011903;1309.46
1011902;1309.46
1011901;1309.46
1011900;1309.46
1011899;1356.18
1011887;83.73
1011886;128.64
1011885;128.64
1011884;103.52
1011883;98.2
1011882;93.63
1011881;94.39
1011880;75.36
1011879;52.52
1011878;181.93
1011877;191.07
1011876;264.89
1011875;180.97
1011874;181.93
1011873;200.2
1011872;554.92
1011871;561.66
1011870;173.56
1011869;90.59
1011868;465.76
1011867;440.73
1011866;351.84
1011865;52.52
1011864;117.99
1011863;264.89
1011862;275.18
1011861;250.9
1011860;264.89
1011859;291.54
1011858;4.57
1011857;158.26
1011856;148.56
1011855;158.26
1011854;148.56
1011853;131.07
1011852;122.34
1011851;129.14
1011850;121.36
1011849;136.9
1011848;128.15
1011847;129.14
1011846;121.36
1011845;129.14
1011844;121.36
1011843;130.11
1011842;121.36
1011841;150.5
1011840;140.79
1011839;140.79
1011838;147.58
1011837;136.9
1011836;147.58
1011835;136.9
1011834;244.24
1011833;9.18
1011832;9.18
1011831;244.24
1011824;158.36
1011823;164.97
1011822;158.36
1011821;158.36
1011820;158.36
1011819;170.61
1011725;2440.39
1011724;2088.02
1011723;2088.02
1011722;2088.02
1011721;2088.02
1011720;2088.02
1011719;1794.53
1011718;1362.72
1011717;1362.72
1011716;1362.72
1011715;1362.72
1011714;1362.72
1011713;1362.72
1011712;1362.72
1011711;1362.72
1011470;10.7
1011469;10.7
1011468;10.7
1011467;42.81
1011466;64.22
1011465;10.7
1011464;12.85
1011463;12.85
1011462;12.85
1011461;32.11
1011460;12.85
1011459;12.85
1011458;12.85
1011457;12.85
1011456;68.34
1011455;68.34
1011454;77.18
1011453;68.34
1011452;77.18
1011451;58.86
1011450;66.45
1011449;56.68
1011448;66.45
