Baldor,sqone,24318,EBM3558T,960.31,999.47
Baldor,sqone,24226,CEM3774T,1674.09,1110.72
Baldor,sqone,23989,UCLE1015,1232.65,1254.01
Baldor,sqone,23994,EBM3611T,1176.58,1294.95
Baldor,sqone,24196,D1154,63.72,1116.95
Baldor,sqone,24395,CEWDM3611T,899.19,898.90
Baldor,sqone,24469,UCME1014,812.57,839.27
Baldor,sqone,24503,UCLE7510,970.99,809.90
Baldor,walkeremd,21759,GHF4032BH,2903.35,1037.13
Baldor,walkeremd,21765,GHF3032BH,2903.35,1037.13
Baldor,walkeremd,21800,GF5032AG,1248.32,872.95
Baldor,walkeremd,21802,GF6032AG,1168.73,872.95
Baldor,sqone,24621,D1152,58.33,809.01
Baldor,sqone,24639,UCLE570,714.67,748.49
Baldor,sqone,24729,D1151,74.44,756.50
Baldor,sqone,24824,L3605,724.46,676.40
Baldor,sqone,24848,VEM3665T,688.86,674.62
Baldor,sqone,24851,VEM3661T,688.86,673.73
Baldor,walkeremd,22692,DMG2333,15931.75,15312.60
Baldor,sqone,24902,VL5005A,409.83,639.91
Baldor,walkeremd,22743,DMG2325,12699.40,12075.24
Baldor,walkeremd,22759,DMG2320,11671.67,11043.12
Baldor,walkeremd,22789,DMG2315,10455.31,10087.45
Baldor,walkeremd,22825,ECP84313T-4,8709.41,8022.59
Baldor,walkeremd,22843,ECP84316T-4,8221.24,7531.91
Baldor,walkeremd,22854,ECP84310T-4,7930.47,7243.01
Baldor,sqone,24968,L5005A,395.01,616.77
Baldor,sqone,24971,UCLE3145,580.28,614.99
Baldor,walkeremd,22870,EM7064T,8523.29,7007.17
Baldor,walkeremd,22895,EM2559T-4,7506.21,6887.69
Baldor,walkeremd,22898,EM4313T,7189.12,6584.39
Baldor,walkeremd,22899,EM4316T,6702.20,5701.19
Baldor,walkeremd,22903,EM2554T-4,7950.52,6663.35
Baldor,walkeremd,22909,ECP84314T-4,7165.31,6476.60
Baldor,walkeremd,22945,EM7062T,7495.56,6036.68
Baldor,walkeremd,22963,EM4310T,6265.41,5660.05
Baldor,walkeremd,22970,EM4314T,5725.23,4875.72
Baldor,walkeremd,22976,D2015P,6553.68,6179.56
Baldor,walkeremd,22986,DMG2310,6385.73,6009.11
Baldor,walkeremd,23018,EM2544T,5055.95,4788.36
Baldor,walkeremd,23026,ECP84114T-4,5534.09,4901.16
Baldor,walkeremd,23030,ECP84115T-4,5508.40,4877.35
Baldor,walkeremd,23031,ECP84115T-5,5508.40,4877.35
Baldor,walkeremd,23035,EM2551T,4926.23,4825.96
Baldor,walkeremd,23051,ECP84109T-4,5329.80,4698.75
Baldor,walkeremd,23059,D2010P,5535.97,5162.48
Baldor,walkeremd,23079,EM7060T,5619.32,4504.48
Baldor,walkeremd,23083,ECP4115T,4976.36,4401.71
Baldor,walkeremd,23103,EM2540T,4176.11,3964.92
Baldor,walkeremd,23108,ECP84110T-4,4785.85,4154.17
Baldor,walkeremd,23109,ECP84110T-5,4785.85,4154.17
Baldor,walkeremd,23127,D2007P,4679.95,4548.35
Baldor,walkeremd,23130,EM4114T,4583.44,4028.84
Baldor,sqone,25050,VM3614,522.43,650.59
Baldor,walkeremd,23139,M4104,5378.68,4265.09
Baldor,walkeremd,23144,EM2547T,4014.43,3931.71
Baldor,walkeremd,23151,EM4115T,3971.81,3388.79
Baldor,walkeremd,23162,JMM4115T,4753.27,4008.16
Baldor,walkeremd,23163,JPM4115T,4753.27,4008.16
Baldor,walkeremd,23172,ECP4110T,4324.63,3749.97
Baldor,walkeremd,23180,EM7058T,4842.25,3694.83
Baldor,walkeremd,23183,JMM4114T,4670.55,3869.04
Baldor,walkeremd,23184,JPM4114T,4670.55,3869.04
Baldor,walkeremd,23185,EM4109T,4238.15,3682.92
Baldor,walkeremd,23204,EM4110T,3639.68,3101.24
Baldor,walkeremd,23226,ECP84108T-4,4007.53,3434.13
