Redlion,plccenter,286684,TMPJ2SU1,42.20,45.00
Redlion,plccenter,286685,TMPK2SU1,38.50,41.00
Redlion,plccenter,286686,TMPT2SU1,45.00,48.00
Redlion,plccenter,286688,CUB7P100,61.00,65.00
Redlion,plccenter,286689,RLY60000,82.00,87.00
Redlion,plccenter,286691,TMPJ2SU2,38.50,41.00
Redlion,plccenter,286692,TMPK2SU2,38.50,41.00
Redlion,plccenter,286698,EMMDC000,66.00,70.00
Redlion,plccenter,286702,MDMV0010,66.00,70.00
Redlion,plccenter,286703,MDMV0020,66.00,70.00
Redlion,plccenter,286705,CUB4L8W0,72.50,77.00
Redlion,plccenter,286710,CUB4L8WM,76.50,81.50
Redlion,plccenter,286716,DT800000,79.00,84.00
Redlion,plccenter,286717,EMDC0000,76.00,81.00
Redlion,plccenter,286723,CUB7P010,76.00,81.00
Redlion,plccenter,286724,CUB7P020,76.00,81.00
Redlion,plccenter,286725,CUB7P210,76.00,81.00
Redlion,plccenter,286727,RLY6A000,112.50,120.00
Redlion,plccenter,286728,CUB4L010,90.00,96.00
Redlion,plccenter,286729,CUB4L020,90.00,96.00
Redlion,plccenter,286731,CUB7P110,81.00,86.00
Redlion,plccenter,286732,CUB7P120,81.00,86.00
Redlion,plccenter,286733,CUB4L810,93.00,99.00
Redlion,plccenter,286734,CUB4L820,93.00,99.00
Redlion,plccenter,286741,CUB4L80M,95.00,101.00
Redlion,plccenter,286745,TMPA2S01,75.00,80.00
Redlion,plccenter,286746,TMPA2S02,75.00,80.00
Redlion,plccenter,286749,CUB4L8W1,99.50,106.50
Redlion,plccenter,286750,CUB4L8W2,99.50,106.50
Redlion,plccenter,286759,CUB4I000,101.50,108.00
Redlion,plccenter,286760,CUB4V000,101.50,108.00
Redlion,plccenter,286761,EMMDC001,97.00,103.00
Redlion,plccenter,286763,RCMDC001,94.00,100.00
Redlion,plccenter,286765,CUB5R000,95.00,101.00
Redlion,plccenter,286766,CUB5TR00,95.00,101.00
Redlion,plccenter,286767,TMPE2SU3,38.50,41.00
Redlion,plccenter,286768,TMPJ2SU3,38.50,41.00
Redlion,plccenter,286769,TMPK2SU3,38.50,41.00
Redlion,plccenter,286770,DT800010,102.50,109.00
Redlion,plccenter,286771,DT800020,102.50,109.00
Redlion,plccenter,286779,CUB4I010,112.50,120.00
Redlion,plccenter,286780,CUB4I020,112.50,120.00
Redlion,plccenter,286781,CUB4V010,112.50,120.00
Redlion,plccenter,286782,CUB4V020,112.50,120.00
Redlion,plccenter,286783,PAXLID00,112.50,120.00
Redlion,plccenter,286784,PAXLVD00,107.00,114.00
Redlion,plccenter,286786,CUB5B000,106.00,113.00
Redlion,plccenter,286787,CUB5TB00,106.00,113.00
Redlion,plccenter,286789,RCDC0000,106.00,113.00
Redlion,plccenter,286790,RRMDC000,111.00,118.00
Redlion,plccenter,286798,PRDC0000,119.50,127.00
Redlion,plccenter,286799,RRDC0000,119.50,127.00
Redlion,plccenter,286802,PRMDC001,121.00,129.00
Redlion,plccenter,286806,P1610000,117.50,125.00
Redlion,plccenter,286807,P1610010,117.50,125.00
