Acme,1229489,TA281144,42.56
Acme,886455,WSB5,307.49
Acme,886454,WSB4,280.9
Acme,886453,WSB3,246.82
Acme,886451,WSA8,62.33
Acme,886449,WSA6,117.18
Acme,886448,WSA5,117.18
Acme,886446,WSA4,78.71
Acme,886445,WSA3,78.71
Acme,886443,WSA2,62.33
Acme,886441,WSA1,62.33
Acme,886440,TPNS11533173S,6431.72
Acme,886438,TPNS02533193S,14752.7
Acme,886436,TPNS02533183S,8389.76
Acme,886435,TPNS02533173S,6753.31
Acme,886433,TPNS02533163S,4600.86
Acme,886432,TPNS02533153S,3736.92
Acme,886430,TPNS02533143S,2561.31
Acme,886429,TPNS02533133S,2184.54
Acme,886427,TPNS02533123S,1898.29
Acme,886426,TPNS02533113S,1769.73
Acme,886424,TPNS01792764S,8558.35
Acme,886422,TPNS01792754S,6491.69
Acme,886421,TPNS01792744S,5199.05
Acme,886419,TPNS01792734S,3777.63
Acme,886417,TPNS01792724S,3155.44
Acme,886416,TPNS01792714S,2287.13
Acme,886414,TPNS01533193S,14138.36
Acme,886412,TPNS01533183S,8040.44
Acme,886411,TPNS01533181S,9997.56
Acme,886409,TPNS01533171S,6955.74
Acme,886408,TPNS01533163S,4385.83
Acme,886406,TPNS01533161S,5230.91
Acme,886405,TPNS01533153S,3578.7
Acme,886403,TPNS01533151S,3966.65
Acme,886401,TPNS01533143S,2388.82
Acme,886399,TPNS01533141S,3079.92
Acme,886398,TPNS01533133S,2136.08
Acme,886396,TPNS01533131S,2893.45
Acme,886394,TPNS01533123S,1803.39
Acme,886393,TPNS01533121S,2328.68
Acme,886391,TPNS01533113S,1685.45
Acme,886389,TPNS01533111S,1800.68
Acme,886388,TPNS00533193S,13523.32
Acme,886386,TPNS00533183S,7690.42
Acme,886385,TPNS00533173S,6125.44
Acme,886383,TPNS00533163S,4023.77
Acme,886381,TPNS00533153S,3192.78
Acme,886380,TPNS00533143S,2375.74
Acme,886378,TPNS00533133S,1980.41
Acme,886376,TPNS00533123S,1725.72
Acme,886374,TPNS00533113S,1471.38
Acme,886373,TPNC21533183S,11596.02
Acme,886371,TPNC11533193S,20872.4
Acme,886369,TPNC11533133S,2941.58
Acme,886368,TPNC01533173S,8639.89
Acme,886366,TPNC01533163S,6420.17
Acme,886364,TPNC01533153S,4928.08
Acme,886363,TPNC01533143S,3521.61
Acme,886361,TPNC01533123S,2268.61
Acme,886359,TPNC01533113S,1841.47
Acme,886358,TPC533193S,13065.06
Acme,886357,TPC533183S,9237.56
Acme,886355,TPC533173S,6698.28
Acme,886354,TPC533163S,4977.48
Acme,886352,TPC533153S,3849.02
Acme,886350,TPC533143S,2893.98
Acme,886349,TPC533133S,2271.08
Acme,886347,TPC533123S,1714.35
Acme,886345,TPC530203S,2518.48
